timestamp,actual,predicted,error,absolute_error
2012-10-01 17:00:00,856,447.53677,-408.4632263183594,408.4632263183594
2012-10-19 18:00:00,233,528.33563,295.33563232421875,295.33563232421875
2012-11-07 01:00:00,92,385.16156,293.16156005859375,293.16156005859375
2012-10-11 19:00:00,743,454.32632,-288.6736755371094,288.6736755371094
2012-10-10 18:00:00,844,566.80035,-277.19964599609375,277.19964599609375
2012-10-19 16:00:00,565,292.80823,-272.1917724609375,272.1917724609375
2012-09-18 18:00:00,281,548.2578,267.2578125,267.2578125
2012-09-27 17:00:00,905,640.0285,-264.97149658203125,264.97149658203125
2012-09-20 17:00:00,976,714.23505,-261.76495361328125,261.76495361328125
2012-09-24 18:00:00,853,592.5556,-260.44439697265625,260.44439697265625
2012-10-03 08:00:00,809,548.6606,-260.33941650390625,260.33941650390625
2012-10-18 17:00:00,890,630.16656,-259.83343505859375,259.83343505859375
2012-09-27 18:00:00,899,641.1672,-257.83282470703125,257.83282470703125
2012-10-31 17:00:00,723,466.7115,-256.28851318359375,256.28851318359375
2012-09-19 17:00:00,886,631.3525,-254.64752197265625,254.64752197265625
2012-10-24 17:00:00,963,712.6864,-250.3135986328125,250.3135986328125
2012-10-02 17:00:00,715,465.5763,-249.4237060546875,249.4237060546875
2012-10-17 08:00:00,817,572.14453,-244.85546875,244.85546875
2012-11-14 08:00:00,691,446.48373,-244.51626586914062,244.51626586914062
2012-10-16 17:00:00,943,699.69073,-243.30926513671875,243.30926513671875
